strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,cumulative_phenotyping_cost,run_seed,cycle_seed,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,episode_step
diversity_sampling,1,5,500,75,0.15,1,75,75,-0.08680110639381082,20,-0.2836072388300409,0.4567768629915161,-0.42227818624681873,-0.13867094741677782,-0.436835204091021,0.452308245878231,-0.1532279652609801,0.04859741101972759,0.034996553033124655,375.0,30001,30005,,,,,,
diversity_sampling,1,6,500,75,0.15,1,75,75,-0.3390217046808623,20,-0.436835204091021,0.452308245878231,-0.676988662468406,-0.24015345837738505,-0.6728595081999785,0.5435143880291505,-0.23602430410895753,0.03964152204571292,0.04782032599905506,450.0,30001,30006,,,,,,
diversity_sampling,1,7,500,75,0.15,1,75,75,0.18624569927536924,20,-0.6728595081999785,0.5435143880291505,0.1685295900814395,0.8413890982814181,0.11661648768539129,0.3240505721967485,0.7894759958853699,0.05051183997420594,0.052842985023744404,525.0,30001,30007,,,,,,
diversity_sampling,1,8,500,75,0.15,1,75,75,0.01810517596329556,20,0.11661648768539129,0.3240505721967485,0.016099441458361386,-0.10051704622702991,-0.03193340260053014,0.12228915466234258,-0.14854989028592142,0.022815574950072914,0.039494297991041094,600.0,30001,30008,,,,,,
fixed_sampling,1,1,500,75,0.15,1,75,75,0.22791698036184688,20,-0.10750762888163229,0.9535162127165758,-0.15121829811904727,-0.043710669237414984,-0.05210643624842032,0.7496168132786944,0.05540119263321197,0.0001946779666468501,0.1321251720073633,75.0,30001,30001,,,,,,
fixed_sampling,1,2,500,75,0.15,1,75,75,-0.11457526176464178,20,-0.05210643624842032,0.7496168132786944,-0.21429312205458736,-0.16218668580616705,-0.24059228067510222,0.42284072676598133,-0.1884858444266819,0.0001303899916820228,0.07127657305682078,150.0,30001,30002,,,,,,
fixed_sampling,1,3,500,75,0.15,1,75,75,0.19327134603292837,20,-0.24059228067510222,0.42284072676598133,-0.013118923759660546,0.22747335691544168,-0.049109884907567826,0.41957190411547496,0.1914823957675344,0.0001340010203421116,0.03638082602992654,225.0,30001,30003,,,,,,
fixed_sampling,1,4,500,75,0.15,1,75,75,0.07805037564503335,20,-0.049109884907567826,0.41957190411547496,0.541695321713034,0.5908052066206019,0.5285083342874564,0.33652732873654995,0.5776182191950242,0.00019173102919012308,0.045834443997591734,300.0,30001,30004,,,,,,
fixed_sampling,1,5,500,75,0.15,1,75,75,0.26307052369258416,20,0.5285083342874564,0.33652732873654995,1.10544116456093,0.5769328302734735,1.037397703450022,0.3025470989723035,0.5088893691625656,0.00014481402467936277,0.03662192600313574,375.0,30001,30005,,,,,,
fixed_sampling,1,6,500,75,0.15,1,75,75,-0.1658831615258391,20,1.037397703450022,0.3025470989723035,0.6052939103968465,-0.43210379305317537,0.6117948087723725,0.27898271618058285,-0.42560289467764945,0.00019217096269130707,0.04222810099599883,450.0,30001,30006,,,,,,
