episode,seed,epsilon,episode_return,episode_steps,invalid_actions,finalized_generations,final_generation_gain,final_variance_retention,q_table_states,model_size,agent_kind
95,12439,0.6428,6.5984003001629254,127,0,20,0.0,8.373598975944916e-31,,100,linear_q
96,12440,0.639,7.358317014849227,127,0,20,0.0,8.373598975944916e-31,,100,linear_q
97,12441,0.6352,4.612718417270902,122,0,20,0.0,2.093399743986229e-31,,100,linear_q
98,12442,0.6314,7.8457197314669544,107,0,20,0.0,8.373598975944916e-31,,100,linear_q
99,12443,0.6275999999999999,4.035475857245308,112,0,20,0.0,0.0,,100,linear_q
100,12444,0.6238,4.770338051585355,121,0,20,0.0,0.0,,100,linear_q
101,12445,0.62,8.415571019860035,117,0,20,0.0,7.536239078350425e-30,,100,linear_q
102,12446,0.6162,3.733091095719845,117,0,20,0.0,2.093399743986229e-31,,100,linear_q
103,12447,0.6124,8.325613577970714,102,0,20,0.0,3.3494395903779665e-30,,100,linear_q
104,12448,0.6086,5.504688219159491,125,0,20,0.0,3.3494395903779665e-30,,100,linear_q
105,12449,0.6048,7.786840718691533,113,0,20,0.0,0.0,,100,linear_q
106,12450,0.601,8.065373742260777,119,0,20,0.0,0.0,,100,linear_q
107,12451,0.5972,5.485831353168453,104,0,20,0.0,8.373598975944916e-31,,100,linear_q
108,12452,0.5934,4.430289318034257,121,0,20,0.0,0.0,,100,linear_q
109,12453,0.5896,7.114421987129432,113,0,20,0.0,8.373598975944916e-31,,100,linear_q
110,12454,0.5858000000000001,7.121957619782029,115,0,20,0.0,0.0,,100,linear_q
111,12455,0.5820000000000001,6.913891016359667,117,0,20,0.0,8.373598975944916e-31,,100,linear_q
112,12456,0.5782,10.031315097784152,109,0,20,0.0,8.373598975944916e-31,,100,linear_q
113,12457,0.5744,10.487081078611887,120,0,20,0.0,8.373598975944916e-31,,100,linear_q
114,12458,0.5706,10.465300278271714,112,0,20,0.0,8.373598975944916e-31,,100,linear_q
115,12459,0.5668,6.944649161292449,117,0,20,0.0,8.373598975944916e-31,,100,linear_q
116,12460,0.563,8.040362254849246,122,0,20,0.0,8.373598975944916e-31,,100,linear_q
117,12461,0.5591999999999999,5.234035863058934,112,0,20,0.0,0.0,,100,linear_q
118,12462,0.5554,5.01245816625046,125,0,20,0.0,2.093399743986229e-31,,100,linear_q
119,12463,0.5516000000000001,4.684330824844705,102,0,20,0.0,0.0,,100,linear_q
120,12464,0.5478000000000001,7.277894689505501,101,0,20,0.0,8.373598975944916e-31,,100,linear_q
121,12465,0.544,8.725362545148707,104,0,20,0.0,8.373598975944916e-31,,100,linear_q
122,12466,0.5402,7.498691924390327,100,0,20,0.0,0.0,,100,linear_q
123,12467,0.5364,5.968124004535736,110,0,20,0.0,0.0,,100,linear_q
124,12468,0.5326,7.656378307997347,110,0,20,0.0,3.3494395903779665e-30,,100,linear_q
125,12469,0.5288,6.848361648518604,111,0,20,0.0,8.373598975944916e-31,,100,linear_q
126,12470,0.525,9.072161966928974,100,0,20,0.0,3.3494395903779665e-30,,100,linear_q
127,12471,0.5212,6.86396062567267,111,0,20,0.0,8.373598975944916e-31,,100,linear_q
128,12472,0.5174000000000001,7.191081713080287,113,0,20,0.0,8.373598975944916e-31,,100,linear_q
129,12473,0.5136000000000001,5.611658047882261,120,0,20,0.0,1.8840597695876063e-30,,100,linear_q
130,12474,0.5098,5.349336484329494,110,0,20,0.0,8.373598975944916e-31,,100,linear_q
131,12475,0.506,7.446710634604395,103,0,20,0.0,7.536239078350425e-30,,100,linear_q
132,12476,0.5022,6.7445249497341635,102,0,20,0.0,3.3494395903779665e-30,,100,linear_q
133,12477,0.49839999999999995,5.1670865644745945,121,0,20,0.0,2.093399743986229e-31,,100,linear_q
134,12478,0.49460000000000004,6.431309129539376,118,0,20,0.0,8.373598975944916e-31,,100,linear_q
135,12479,0.4908,6.250040731089781,120,0,20,0.0,0.0,,100,linear_q
136,12480,0.487,9.631756471159276,108,0,20,-0.08460472299084021,0.007569779222108618,,100,linear_q
137,12481,0.48319999999999996,5.814484704811751,119,0,20,0.0,2.093399743986229e-31,,100,linear_q
138,12482,0.47939999999999994,7.3930733759824365,109,0,20,0.0,0.0,,100,linear_q
139,12483,0.4756,6.857190280492729,123,0,20,0.0,0.0,,100,linear_q
140,12484,0.4718,6.2222005712583215,117,0,20,0.0,8.373598975944916e-31,,100,linear_q
141,12485,0.46799999999999997,8.988611436746215,102,0,20,0.0,7.536239078350425e-30,,100,linear_q
142,12486,0.46420000000000006,7.033322045298795,108,0,20,0.0,7.536239078350425e-30,,100,linear_q
143,12487,0.46040000000000003,9.138022228958054,98,0,20,0.0,0.0,,100,linear_q
144,12488,0.4566000000000001,6.1441029112786625,103,0,20,0.0,2.093399743986229e-31,,100,linear_q
145,12489,0.4528000000000001,9.605085692285813,107,0,20,0.0,8.373598975944916e-31,,100,linear_q
146,12490,0.44900000000000007,6.825648398392592,111,0,20,0.0,0.0,,100,linear_q
147,12491,0.44520000000000004,9.325816022906146,97,0,20,0.0,0.0,,100,linear_q
148,12492,0.4414,4.817544315944125,122,0,20,0.0,8.373598975944916e-31,,100,linear_q
149,12493,0.4376000000000001,6.692788282588488,116,0,20,0.0,1.8840597695876063e-30,,100,linear_q
150,12494,0.4338000000000001,5.8700070111413325,101,0,20,0.0,8.373598975944916e-31,,100,linear_q
151,12495,0.43000000000000005,7.80456313672638,96,0,20,0.0,0.0,,100,linear_q
152,12496,0.4262,9.376388768589266,106,0,20,0.0,3.3494395903779665e-30,,100,linear_q
153,12497,0.4224,5.537858927130732,103,0,20,0.0,8.373598975944916e-31,,100,linear_q
154,12498,0.4186000000000001,9.11705095684604,96,0,20,0.0,3.3494395903779665e-30,,100,linear_q
155,12499,0.41480000000000006,6.145040174564734,98,0,20,0.0,1.8840597695876063e-30,,100,linear_q
156,12500,0.41100000000000003,3.85749116641376,114,0,20,0.0,0.0,,100,linear_q
157,12501,0.4072,6.419490638263,111,0,20,0.0,8.373598975944916e-31,,100,linear_q
158,12502,0.4034,5.2183105855448675,118,0,20,0.0,0.0,,100,linear_q
159,12503,0.39960000000000007,5.34520550391974,113,0,20,0.0,8.373598975944916e-31,,100,linear_q
160,12504,0.39580000000000004,4.337995798899981,123,0,20,0.0,1.8840597695876063e-30,,100,linear_q
161,12505,0.392,7.710643952807297,99,0,20,0.0,3.3494395903779665e-30,,100,linear_q
162,12506,0.3882,5.818815128693085,122,0,20,0.0,8.373598975944916e-31,,100,linear_q
163,12507,0.38439999999999996,9.696460039352887,115,0,20,0.0,8.373598975944916e-31,,100,linear_q
164,12508,0.38060000000000005,9.847480016523432,114,0,20,0.0,8.373598975944916e-31,,100,linear_q
