scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,oracle_chosen_strategy,initial_batch_size,model_score_batch_size,model_score,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,uncertainty_batch_size
h2_0.20_budget_200_parents_20,oracle_switching,2,3,1000,200,0.2,1,200,200,0.35649224372644117,20,2.340654083552074,0.6157239660195206,0.9574921373684194,-1.3831619461836544,3.2969970771343178,0.45055209067041085,0.9563429935822438,0.1864644039887935,0.2712107510014903,30002,0.2,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.35686443522255634,0.35649224372644117,
h2_0.20_budget_200_parents_20,oracle_switching,2,4,1000,200,0.2,1,200,200,0.5607016875771176,20,3.296997077134318,0.45055209067041085,4.565912583997812,1.2689155068634936,4.572949142003111,0.42994579377781883,1.2759520648687928,,,30002,0.2,200,20,8,random_sampling,,,,,,,
h2_0.20_budget_200_parents_20,oracle_switching,2,5,1000,200,0.2,1,200,200,0.5528097094385187,20,4.572949142003112,0.4299457937778189,1.0152036044625266,-3.557745537540585,5.5850009607436695,0.1462045648042741,1.0120518187405576,0.28732332499930635,0.3723280300037004,30002,0.2,200,20,8,active_learning_pev,50.0,,,True,0.22233983057177,0.5528097094385187,150.0
h2_0.20_budget_200_parents_20,oracle_switching,2,6,1000,200,0.2,1,200,200,0.19960880283458368,20,5.5850009607436695,0.1462045648042741,0.1755492053363848,-5.409451755407285,5.775955046426271,0.08519209795612408,0.19095408568260108,0.3229255590122193,0.42648599899257533,30002,0.2,200,20,8,active_learning_pev,50.0,,,True,-0.15913414527725758,0.19960880283458368,150.0
h2_0.20_budget_200_parents_20,oracle_switching,2,7,1000,200,0.2,1,200,200,0.3917760683833831,20,5.77595504642627,0.08519209795612406,6.08003155857921,0.30407651215294074,6.098328275925733,0.059940849667125935,0.3223732294994637,,,30002,0.2,200,20,8,diversity_sampling,,,,,,,
h2_0.20_budget_200_parents_20,oracle_switching,2,8,1000,200,0.2,1,200,200,0.3560506729444345,20,6.098328275925733,0.05994084966712593,0.15481872092909205,-5.943509554996641,6.248684276725614,0.02001190955687023,0.15035600079988054,0.2564055449911393,0.35972262400900945,30002,0.2,200,20,8,active_learning_pev,50.0,,,True,0.1681078202919512,0.3560506729444345,150.0
h2_0.20_budget_200_parents_20,oracle_switching,3,1,1000,200,0.2,1,200,200,0.36291529365331193,20,-0.13314627914244165,0.9430240904123077,1.6526435131704318,1.7857897923128734,1.4945878136157424,0.6556086421033693,1.627734092758184,0.3219716809981037,0.4339748930069618,30003,0.2,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.27951956676895356,0.36291529365331193,
h2_0.20_budget_200_parents_20,oracle_switching,3,2,1000,200,0.2,1,200,200,0.45048129296353046,20,1.4945878136157424,0.6556086421033693,0.9705603253519695,-0.524027488263773,2.4774744238725845,0.4728066956696268,0.9828866102568421,0.4785499009885825,0.5733657109958585,30003,0.2,200,20,8,active_learning_pev,50.0,,,True,0.36126697112557116,0.45048129296353046,150.0
h2_0.20_budget_200_parents_20,oracle_switching,3,3,1000,200,0.2,1,200,200,0.4419062255080318,20,2.4774744238725845,0.4728066956696268,3.593081437921879,1.1156070140492944,3.604229171886679,0.21905445797517864,1.1267547480140943,,,30003,0.2,200,20,8,fixed_sampling,,,,,,,
h2_0.20_budget_200_parents_20,oracle_switching,3,4,1000,200,0.2,1,200,200,0.09309806621892829,20,3.604229171886679,0.21905445797517864,4.050627994841339,0.4463988229546598,4.048782248083808,0.07242121138089955,0.444553076197129,,,30003,0.2,200,20,8,fixed_sampling,,,,,,,
h2_0.20_budget_200_parents_20,oracle_switching,3,5,1000,200,0.2,1,200,200,0.28000805738667783,20,4.048782248083808,0.07242121138089955,0.24556898681098516,-3.8032132612728224,4.306633330759525,0.020267105709581523,0.25785108267571744,0.07017491600709036,0.1528146030032076,30003,0.2,200,20,8,highest_gebv,50.0,150.0,predicted_gebv,False,0.25271139562073053,0.28000805738667783,
h2_0.20_budget_200_parents_20,oracle_switching,3,6,1000,200,0.2,1,200,200,0.09036998072379883,20,4.306633330759525,0.02026710570958152,4.362715118346798,0.05608178758727256,4.367846505066558,0.00967733128845968,0.061213174307032325,,,30003,0.2,200,20,8,fixed_sampling,,,,,,,
