scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_population_size,scenario_diversity_loss,scenario_number_of_parents,scenario_number_of_crosses,scenario_dh_per_f1,scenario_number_of_generations,switching_chosen_strategy,switching_policy,chosen_strategy_score,best_fixed_continuation,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,3,5,500,75,0.15,1,75,75,0.124206860897834,20,1.9740680422445784,0.05056984228632535,0.18066235252250357,-1.793405689722075,2.1294586819027055,0.04068309969746708,0.15539063965812705,0.03685297098127194,0.08370950698736124,30003,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.16174225476371218,active_learning_pev,50.0,,False,8.664992429909164e-05,0.124206860897834,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,3,6,500,75,0.15,1,75,75,0.35869546903064303,20,2.129458681902705,0.04068309969746708,2.1925176564661326,0.06305897456342757,2.1614852672232736,0.022943486727719887,0.03202658532056857,,,30003,0.05,75,500,standard,20,50,10,8,diversity_sampling,averaged_one_step_switching_5_draws,0.040319209844331905,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,3,7,500,75,0.15,1,75,75,0.4582874628625472,20,2.1614852672232736,0.022943486727719887,2.2221416660533233,0.060656398830049696,2.228844849609998,0.004876994485654407,0.06735958238672435,,,30003,0.05,75,500,standard,20,50,10,8,diversity_sampling,averaged_one_step_switching_5_draws,0.06823989759623092,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,3,8,500,75,0.15,1,75,75,-0.2800154397243583,20,2.228844849609998,0.004876994485654408,-0.0033245314747750256,-2.232169381084773,2.23921178303284,0.0023107291104812445,0.010366933422842006,0.10768075898522511,0.16722929998650216,30003,0.05,75,500,standard,20,50,10,8,active_learning_pev,averaged_one_step_switching_5_draws,0.008645087955691721,active_learning_pev,50.0,25.0,True,-0.22120221785188307,-0.2800154397243583,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,4,1,500,75,0.15,1,75,75,0.16163351218678473,20,-0.11527598875911042,0.9122437426261061,0.5962081141374092,0.7114841028965195,0.5034079796670788,0.8984222021325994,0.6186839684261892,0.18729717601672746,0.25145812798291445,30004,0.05,75,500,standard,20,50,10,8,highest_gebv,averaged_one_step_switching_5_draws,0.6132670277631334,active_learning_pev,50.0,,False,0.11843758512110052,0.16163351218678473,25.0,predicted_gebv
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,4,2,500,75,0.15,1,75,75,0.5534182956301656,20,0.5034079796670788,0.8984222021325994,2.0657500450782993,1.5623420654112206,2.027509743032378,0.12466795680789977,1.5241017633652993,,,30004,0.05,75,500,standard,20,50,10,8,random_sampling,averaged_one_step_switching_5_draws,0.9190423607807972,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,4,3,500,75,0.15,1,75,75,0.4030837628428956,20,2.027509743032378,0.12466795680789977,0.3483151659719489,-1.679194577060429,2.3453609067188137,0.2185219894076004,0.3178511636864356,0.14048569501028396,0.20275923100416549,30004,0.05,75,500,standard,20,50,10,8,active_learning_pev,averaged_one_step_switching_5_draws,0.3126627152163258,active_learning_pev,50.0,25.0,True,0.3165536479763791,0.4030837628428956,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,4,4,500,75,0.15,1,75,75,0.45141807839916975,20,2.3453609067188137,0.21852198940760043,2.8590841789250563,0.5137232722062426,2.865602943091483,0.12685230003065803,0.5202420363726694,,,30004,0.05,75,500,standard,20,50,10,8,diversity_sampling,averaged_one_step_switching_5_draws,0.5281140686042083,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,4,5,500,75,0.15,1,75,75,0.2795937725659116,20,2.865602943091483,0.12685230003065803,3.219834847074585,0.35423190398310167,3.227985338269099,0.08803908700559218,0.3623823951776157,,,30004,0.05,75,500,standard,20,50,10,8,random_sampling,averaged_one_step_switching_5_draws,0.2619319149457578,active_learning_pev,,,,,,,
h2_0.05_budget_75_pop_500_parents_20_gen_8_loss_standard,averaged_one_step_switching_5_draws,4,6,500,75,0.15,1,75,75,0.3189811126236882,20,3.227985338269099,0.08803908700559218,3.375717677961311,0.1477323396922121,3.3767917469936486,0.031639768023261926,0.14880640872454975,,,30004,0.05,75,500,standard,20,50,10,8,fixed_sampling,averaged_one_step_switching_5_draws,0.15161342786374127,active_learning_pev,,,,,,,
