scenario,strategy,replicate,seed,number_of_generations,total_number_phenotyped,initial_mean_genetic_value,final_mean_genetic_value,total_realized_genetic_gain,mean_gain_per_generation,gain_standard_deviation,gain_per_100_phenotypes,area_under_genetic_gain_curve,mean_prediction_accuracy,final_prediction_accuracy,minimum_prediction_accuracy,maximum_prediction_accuracy,prediction_accuracy_variability,initial_genetic_variance,final_genetic_variance,variance_retention,rate_of_variance_loss,cumulative_phenotyping_cost,mean_selection_seconds,mean_cycle_seconds,mean_initial_model_accuracy,mean_final_model_accuracy,total_cycle_seconds
h2_0.20_budget_200_parents_20,highest_gebv,2,30002,8,1600,-0.13314627914244165,4.088255274410019,4.221401553552461,0.5276751941940576,0.5329939429595884,0.2638375970970288,24.89391557634916,0.29268737419122826,0.13644282494827303,-0.07303187628533159,0.5660903751365322,0.24447439285825098,0.9430240904123077,0.010415004580973608,0.01104426142116897,-0.12837592774846646,1600.0,0.13813316787855,0.2376372333856125,0.18100764917349407,0.29268737419122826,1.9010978670849
h2_0.20_budget_200_parents_20,highest_gebv,3,30003,8,1600,-0.13314627914244165,3.1504724591728492,3.283618738315291,0.41045234228941135,0.601382927954262,0.20522617114470568,21.91494715031314,0.2663525570353391,0.16871505482027024,-0.13348935290403893,0.5732629259700339,0.2111201882185634,0.9430240904123077,0.004629683932094967,0.004909401550994082,-0.1028257834266115,1600.0,0.1232358703709906,0.2224447010012227,0.1688461089096574,0.2663525570353391,1.7795576080097817
h2_0.20_budget_200_parents_20,random_sampling,1,30001,8,1600,-0.13314627914244168,4.705750681176475,4.838896960318917,0.6048621200398646,0.6272864271014879,0.3024310600199323,29.21412665004055,0.3467643895754397,-0.11009411679102742,-0.11009411679102742,0.6863807123113465,0.2508817404560601,0.9430240904123077,0.02236157213246548,0.02371262023930755,-0.11850848252110395,1600.0,,,,,0.0
h2_0.20_budget_200_parents_20,random_sampling,2,30002,8,1600,-0.13314627914244168,3.1451977881500035,3.278344067292445,0.40979300841155564,0.3847156089972694,0.20489650420577782,18.34815909591792,0.3401296719253325,0.3222378662612699,0.17511955360835357,0.4802321843795522,0.11126365187714185,0.9430240904123077,0.01589631977167854,0.016856748341103747,-0.12492255027204549,1600.0,,,,,0.0
h2_0.20_budget_200_parents_20,random_sampling,3,30003,8,1600,-0.13314627914244168,3.5150901236264636,3.648236402768905,0.45602955034611314,0.3412065855793598,0.22801477517305654,17.599789299280527,0.40621709079961255,0.29264799361122235,0.27366064148756886,0.5895260115107102,0.11911603229219697,0.9430240904123077,0.010273171623025785,0.010893859157441208,-0.11644407925240219,1600.0,,,,,0.0
h2_0.40_budget_200_parents_20,active_learning_pev,1,31001,8,1600,-0.13314627914244165,4.849230296569575,4.982376575712016,0.622797071964002,0.5128406179428063,0.311398535982001,28.323226128937208,0.48163199675857093,0.43128226521945634,0.30940955097096473,0.6545116841232046,0.11023421426937972,0.9430240904123077,0.012961713727527968,0.013744838397352993,-0.12744195640504818,1600.0,0.3469902166216343,0.4526156356296269,0.22170859599797604,0.48163199675857093,3.6209250850370154
h2_0.40_budget_200_parents_20,active_learning_pev,2,31002,8,1600,-0.13314627914244165,5.0755571881766555,5.208703467319097,0.6510879334148871,0.6705744073016398,0.32554396670744357,30.873880810219795,0.5422370776255583,0.6511150947933823,0.21800973894866083,0.7108499297711564,0.1688049883761527,0.9430240904123077,0.013152220271101744,0.013946855021859885,-0.10166389313911643,1600.0,0.3418936057460087,0.4471478780033067,0.3742335599805098,0.5422370776255583,3.5771830240264535
h2_0.40_budget_200_parents_20,active_learning_pev,3,31003,8,1600,-0.13314627914244165,5.635357841784496,5.768504120926938,0.7210630151158672,0.5920960659912817,0.3605315075579336,30.77118265621295,0.4645987430102043,0.3208243991740688,0.3208243991740688,0.6103251015961744,0.09805109738213758,0.9430240904123077,0.07186228741137766,0.07620408443644121,-0.09407834614267274,1600.0,0.3689906812469417,0.48029873600171413,0.3245639768670222,0.4645987430102043,3.842389888013713
h2_0.40_budget_200_parents_20,diversity_sampling,1,31001,8,1600,-0.13314627914244168,5.83324269841982,5.966388977562262,0.7457986221952827,0.5299796485290988,0.37289931109764135,31.396813871118347,0.5117756987215045,0.22140523301356863,0.22140523301356863,0.6870884378837252,0.16177331548915846,0.9430240904123077,0.004473293019458744,0.004743561765747614,-0.11374189414949581,1600.0,,,,,0.0
h2_0.40_budget_200_parents_20,diversity_sampling,2,31002,8,1600,-0.13314627914244168,4.474149642930318,4.607295922072759,0.5759119902590949,0.43002541026653945,0.28795599512954745,24.924792469669256,0.4340196156320319,0.2488206911800015,0.2488206911800015,0.6587364225621346,0.14444699592960492,0.9430240904123077,0.029494827498044673,0.03127685474625466,-0.09982123755034496,1600.0,,,,,0.0
h2_0.40_budget_200_parents_20,diversity_sampling,3,31003,8,1600,-0.13314627914244168,6.628354840405389,6.76150111954783,0.8451876399434788,0.45688750416538276,0.4225938199717394,32.64884680391686,0.5359230465136617,0.47859768739873626,0.42295833608450595,0.6330865129046651,0.07851009126090586,0.9430240904123077,0.14512202352812198,0.1538900490491944,-0.08968522398396278,1600.0,,,,,0.0
