scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,oracle_trial_strategy,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.70_budget_200_parents_20,active_learning_pev,1,1,1000,200,0.2,1,200,200,0.5677506050453187,20,-0.13314627914244165,0.9430240904123077,1.983534256067713,2.1166805352101545,1.8068386898998576,0.46251721792883327,1.9399849690422992,0.4923452159855515,0.579810583993094,32001,0.7,200,20,8,active_learning_pev,50.0,150.0,True,0.40201149435951594,0.5677506050453187,,
h2_0.70_budget_200_parents_20,highest_gebv,1,1,1000,200,0.2,1,200,200,0.568758312889005,20,-0.13314627914244165,0.9430240904123077,2.0573215499822206,2.190467829124662,2.001658782525837,0.5202215798379564,2.1348050616682785,0.30418901998200454,0.3905061070108786,32001,0.7,200,20,8,highest_gebv,50.0,,False,0.40201149435951594,0.568758312889005,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,random_sampling,1,2,1000,200,0.2,1,200,200,0.5913577292036627,20,1.9028695483020055,0.5241354683094959,2.8146629067747604,0.9117933584727549,2.852691503177798,0.5923237925860878,0.9498219548757927,,,32001,0.7,200,20,8,random_sampling,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,1,2,1000,200,0.2,1,200,200,0.4561658899676478,20,1.9028695483020055,0.5241354683094959,2.6078764330585082,0.7050068847565027,2.5947504141384834,0.22138635094781142,0.6918808658364779,,,32001,0.7,200,20,8,fixed_sampling,,,,,,,
h2_0.70_budget_200_parents_20,diversity_sampling,1,2,1000,200,0.2,1,200,200,0.6272432645752862,20,1.9028695483020055,0.5241354683094959,3.2931710118712916,1.390301463569286,3.31652819152882,0.4218413681226973,1.4136586432268143,,,32001,0.7,200,20,8,diversity_sampling,,,,,,,
h2_0.70_budget_200_parents_20,active_learning_pev,1,2,1000,200,0.2,1,200,200,0.4675890301050522,20,1.9028695483020053,0.5241354683094959,1.1374997387632249,-0.7653698095387804,3.0440307466700096,0.4093620709320303,1.1411611983680043,0.3838696160237305,0.4642126399849076,32001,0.7,200,20,8,active_learning_pev,50.0,150.0,True,0.34562665282585353,0.4675890301050522,,
h2_0.70_budget_200_parents_20,highest_gebv,1,2,1000,200,0.2,1,200,200,0.48236547682081954,20,1.9028695483020053,0.5241354683094959,1.360663209249227,-0.5422063390527783,3.2941002099405834,0.41028984685399,1.3912306616385781,0.20869129200582393,0.2935929009981919,32001,0.7,200,20,8,highest_gebv,50.0,,False,0.34562665282585353,0.48236547682081954,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,random_sampling,1,3,1000,200,0.2,1,200,200,0.685652083961899,20,3.311172532015356,0.4564455267730993,4.254984456678839,0.9438119246634828,4.2257188926063876,0.25735939268757707,0.9145463605910313,,,32001,0.7,200,20,8,random_sampling,,,,,,,
h2_0.70_budget_200_parents_20,fixed_sampling,1,3,1000,200,0.2,1,200,200,0.6928242438589425,20,3.311172532015356,0.4564455267730993,4.15398798054524,0.8428154485298842,4.130653956335898,0.2656029579848135,0.8194814243205419,,,32001,0.7,200,20,8,fixed_sampling,,,,,,,
h2_0.70_budget_200_parents_20,diversity_sampling,1,3,1000,200,0.2,1,200,200,0.7217071099333857,20,3.311172532015356,0.4564455267730993,4.197410734089693,0.8862382020743365,4.2141116615870855,0.2578417875358125,0.9029391295717293,,,32001,0.7,200,20,8,diversity_sampling,,,,,,,
