scenario,strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,run_seed,scenario_heritability,scenario_number_to_phenotype,scenario_number_of_parents,scenario_number_of_generations,initial_batch_size,uncertainty_batch_size,selected_by_uncertainty,initial_model_accuracy,final_model_accuracy,model_score_batch_size,model_score
h2_0.70_budget_200_parents_20,active_learning_pev,1,8,1000,200,0.2,1,200,200,0.08752317869663874,20,5.422708239247038,0.02738587460133656,0.02238286981513323,-5.400325369431905,5.446473545209242,0.014498710840124225,0.023765305962204053,0.1979045220068656,0.3153522780048661,32001,0.7,200,20,8,50.0,150.0,True,0.05676728951777099,0.08752317869663874,,
h2_0.70_budget_200_parents_20,highest_gebv,1,1,1000,200,0.2,1,200,200,0.568758312889005,20,-0.13314627914244165,0.9430240904123077,2.0573215499822206,2.190467829124662,1.9538681677823164,0.472152648603898,2.087014446924758,0.3250038280093577,0.45980826299637556,32001,0.7,200,20,8,50.0,,False,0.40201149435951594,0.568758312889005,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,highest_gebv,1,2,1000,200,0.2,1,200,200,0.5606136524833542,20,1.9538681677823164,0.472152648603898,1.306694947503284,-0.6471732202790323,3.2879924571975234,0.494721822999604,1.334124289415207,0.24517332602408715,0.34120762001839466,32001,0.7,200,20,8,50.0,,False,0.34869453013990126,0.5606136524833542,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,highest_gebv,1,3,1000,200,0.2,1,200,200,0.7117938779987284,20,3.2879924571975234,0.494721822999604,1.4690510091690654,-1.818941448028458,4.763025892632754,0.37771233819810673,1.4750334354352308,0.2282313749892637,0.3279064450180158,32001,0.7,200,20,8,50.0,,False,0.2987973655867851,0.7117938779987284,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,highest_gebv,1,4,1000,200,0.2,1,200,200,0.58104494464775,20,4.763025892632754,0.37771233819810673,1.3401227852906255,-3.4229031073421288,6.0990119524180155,0.11336064347664299,1.3359860597852613,0.18385345800197683,0.2791852630034555,32001,0.7,200,20,8,50.0,,False,0.41356529541519244,0.58104494464775,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,highest_gebv,1,5,1000,200,0.2,1,200,200,0.45546760227294303,20,6.0990119524180155,0.11336064347664299,0.33386577782958676,-5.765146174588429,6.444134309971372,0.02287157518407056,0.34512235755335663,0.13907853100681677,0.22066208798787557,32001,0.7,200,20,8,50.0,,False,0.5200904626109136,0.45546760227294303,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,highest_gebv,1,6,1000,200,0.2,1,200,200,0.5336270918748536,20,6.444134309971372,0.02287157518407056,0.13650170398739175,-6.30763260598398,6.58620611468633,0.004602941559642403,0.14207180471495828,0.09783593300380744,0.1805871459946502,32001,0.7,200,20,8,50.0,,False,0.27042855041211117,0.5336270918748536,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,highest_gebv,1,7,1000,200,0.2,1,200,200,-0.00330565586861771,20,6.58620611468633,0.004602941559642403,0.000956662870837662,-6.585249451815493,6.585597754179588,0.0003929842818811432,-0.0006083605067424003,0.06177949300035834,0.19028890298795886,32001,0.7,200,20,8,50.0,,False,-0.04224224401989419,-0.00330565586861771,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,highest_gebv,1,8,1000,200,0.2,1,200,200,0.3749957372613857,20,6.585597754179588,0.0003929842818811432,0.0057348844943190345,-6.579862869685269,6.592246641131511,0.0002244514166541853,0.006648886951922783,0.048010786005761474,0.13687966801808216,32001,0.7,200,20,8,50.0,,False,0.2535166050168811,0.3749957372613857,150.0,predicted_gebv
h2_0.70_budget_200_parents_20,random_sampling,2,1,1000,200,0.2,1,200,200,0.5970715187128505,20,-0.13314627914244168,0.9430240904123077,1.3879376142239805,1.5210838933664221,1.3758949823760211,0.5276460716618314,1.5090412615184627,,,32002,0.7,200,20,8,,,,,,,
