scenario,strategy,replicate,seed,number_of_generations,total_number_phenotyped,initial_mean_genetic_value,final_mean_genetic_value,total_realized_genetic_gain,mean_gain_per_generation,gain_standard_deviation,gain_per_100_phenotypes,area_under_genetic_gain_curve,mean_prediction_accuracy,final_prediction_accuracy,minimum_prediction_accuracy,maximum_prediction_accuracy,prediction_accuracy_variability,initial_genetic_variance,final_genetic_variance,variance_retention,rate_of_variance_loss,cumulative_phenotyping_cost,mean_selection_seconds,mean_cycle_seconds,mean_initial_model_accuracy,mean_final_model_accuracy,total_cycle_seconds
h2_0.70_budget_100_pop_1000_parents_20_gen_12_loss_strong,oracle_switching,2,776002,12,1200,-0.13314627914244165,6.341026943547652,6.474173222690093,0.5395144352241744,0.5816994062551027,0.5395144352241744,59.154048994010594,0.35173619862162314,0.0,0.0,0.6359703913796798,0.22469542928189734,0.9430240904123077,0.0,0.0,-0.061608950535742064,1200.0,0.2892446475016186,0.3610122410027543,0.3134232752548522,0.40489505992467245,0.7220244820055086
h2_0.70_budget_100_pop_1000_parents_20_gen_12_loss_strong,oracle_switching,3,776003,12,1200,-0.13314627914244165,7.012254039906532,7.145400319048973,0.5954500265874145,0.7015165760964797,0.5954500265874144,68.28307632777585,0.3004878793470123,0.0,0.0,0.676147379566587,0.27004749240728765,0.9430240904123077,0.0,0.0,-0.06893671862686788,1200.0,0.22524426700692857,0.3148804385054973,0.38606439215971045,0.4279713111211714,1.2595217540219892
h2_0.70_budget_100_pop_1000_parents_20_gen_12_loss_weak,oracle_switching,1,774001,12,1200,-0.13314627914244165,7.537899619630705,7.671045898773147,0.6392538248977623,0.6813979335083492,0.6392538248977622,70.64516399950679,0.41211064602426223,0.05238638429232862,0.05238638429232862,0.6709445091761415,0.2060106394330111,0.9430240904123077,0.001047774411757335,0.0011110791573725636,-0.0670527762126564,1200.0,0.2235371629940346,0.3102169155026786,0.29160209395093767,0.4164088689110324,1.2408676620107144
h2_0.70_budget_100_pop_1000_parents_20_gen_12_loss_weak,oracle_switching,2,774002,12,1200,-0.13314627914244165,6.279313778585157,6.412460057727599,0.5343716714773,0.6123618001478202,0.5343716714772999,60.69586014000092,0.4067522653618488,0.13279486129135792,0.0018945756988511015,0.5631935876338094,0.17343092688955097,0.9430240904123077,0.0005356938644699196,0.0005680595754830657,-0.06414744864196861,1200.0,0.19697725689426684,0.2797094004474477,0.3200612354063722,0.396754855252646,2.517384604027029
h2_0.70_budget_100_pop_1000_parents_20_gen_12_loss_weak,oracle_switching,3,774003,12,1200,-0.13314627914244165,7.523513024710751,7.656659303853193,0.638054941987766,0.6146199938165161,0.638054941987766,69.32766421602484,0.3997475741811356,-0.055838281105296754,-0.055838281105296754,0.7312963216904543,0.20542820558596345,0.9430240904123077,7.896505557767887e-31,8.373598975944916e-31,-0.07491233418479486,1200.0,0.27089919870819096,0.36252980399876833,0.322856980731956,0.39899138091020525,2.5377086279913783
h2_0.70_budget_100_pop_1000_parents_20_gen_5_loss_standard,oracle_switching,1,769001,5,500,-0.13314627914244165,5.464862419562203,5.5980086987046445,1.1196017397409288,0.3749003072995524,1.1196017397409288,16.12991868654221,0.5374257448048165,0.4936687074166598,0.4623582445215163,0.6318415372377693,0.07860322912819455,0.9430240904123077,0.19844208378501205,0.21043161654359166,-0.13917774389878304,500.0,0.23272533140843735,0.3054788599954918,0.4848958385174503,0.5374257448048165,1.527394299977459
h2_0.70_budget_100_pop_1000_parents_20_gen_5_loss_standard,oracle_switching,2,769002,5,500,-0.13314627914244165,3.7111947758948327,3.8443410550372743,0.768868211007455,0.6444126037512362,0.768868211007455,13.539718759706775,0.4469261050727796,0.18836462004681281,0.18836462004681281,0.671457622354938,0.19509158239835114,0.9430240904123077,0.0174086495430222,0.018460450501758457,-0.16636198849781944,500.0,0.2894317047466757,0.3689863135004998,0.479725792513816,0.5115664763292712,1.4759452540019993
h2_0.70_budget_100_pop_1000_parents_20_gen_5_loss_standard,oracle_switching,3,769003,5,500,-0.13314627914244165,5.766730284232395,5.8998765633748365,1.1799753126749672,0.6197540604784826,1.1799753126749672,17.95763105642302,0.494672633063427,0.5003726796721482,0.43496771376477505,0.5928701131990314,0.06459948850933922,0.9430240904123077,0.13506705004938738,0.1432275711963345,-0.14750559470679153,500.0,0.24290036750608124,0.3281612770006177,0.40652398208110674,0.4932476214112468,1.3126451080024708
h2_0.70_budget_100_pop_1000_parents_20_gen_5_loss_strong,oracle_switching,1,770001,5,500,-0.13314627914244168,5.76719668412159,5.900342963264031,1.180068592652806,0.3482275021406739,1.1800685926528063,16.36236061239203,0.4878531149916654,0.5763007952361362,0.3144836633720369,0.5763007952361362,0.10121687414990137,0.9430240904123077,0.23572473822766452,0.24996682547590196,-0.12173889538662476,500.0,0.2423872100043809,0.3240758232495864,0.35819175352351373,0.4763315823828128,1.2963032929983456
h2_0.70_budget_100_pop_1000_parents_20_gen_5_loss_strong,oracle_switching,2,770002,5,500,-0.13314627914244165,6.377976646262489,6.511122925404931,1.3022245850809864,0.3510953568329783,1.3022245850809862,17.682610891983835,0.5518178513101486,0.6425050781836366,0.4383244758098064,0.6425050781836366,0.08146044038052395,0.9430240904123077,0.1452049149732386,0.15397794865426215,-0.12894323083512846,500.0,0.2362673589886981,0.314176339750702,0.3709653862767287,0.5291460445917766,1.256705359002808
