strategy,replicate,generation,population_size,number_phenotyped,phenotyping_fraction,replications,phenotyping_cost_units,training_population_size,prediction_accuracy,number_of_selected_parents,population_mean_gv_before,population_variance_gv_before,selected_parent_mean_gv,selection_differential,next_generation_mean_gv,next_generation_variance_gv,realized_genetic_gain,selection_seconds,cycle_seconds,cumulative_phenotyping_cost,run_seed,cycle_seed,initial_batch_size,uncertainty_batch_size,initial_model_accuracy,final_model_accuracy
fixed_sampling,1,1,1000,200,0.2,1,200,200,0.4368836541656729,20,-0.13314627914244168,0.9430240904123077,0.8876224270001449,1.0207687061425865,0.8596021432623918,1.034864267068485,0.9927484224048335,0.00019327799964230508,0.14635433600051329,200,1001,1001,,,,
fixed_sampling,1,2,1000,200,0.2,1,200,200,0.7289534401538577,20,0.8596021432623918,1.034864267068485,2.441750049182934,1.582147905920542,2.373259423651585,0.6654196661946287,1.513657280389193,0.00014620599904446863,0.09678488300050958,400,1001,1002,,,,
fixed_sampling,1,3,1000,200,0.2,1,200,200,0.6439994127155149,20,2.373259423651585,0.6654196661946287,3.6743129813158975,1.3010535576643125,3.6980460432838016,0.23045198640939923,1.3247866196322167,0.00014810699940426275,0.04983853800149518,600,1001,1003,,,,
fixed_sampling,1,4,1000,200,0.2,1,200,200,0.3859619411574509,20,3.6980460432838016,0.23045198640939923,4.094404078044339,0.3963580347605373,4.123588294469616,0.2681339054628633,0.425542251185814,0.00014930800170986913,0.05116864700175938,800,1001,1004,,,,
fixed_sampling,1,5,1000,200,0.2,1,200,200,0.6223747824483185,20,4.123588294469616,0.2681339054628633,4.820175521973165,0.6965872275035494,4.8298361267470655,0.09412236929893544,0.7062478322774499,0.00014738199752173387,0.05359273099747952,1000,1001,1005,,,,
random_sampling,1,1,1000,200,0.2,1,200,200,0.5165840343390469,20,-0.13314627914244168,0.9430240904123077,1.0650582862355606,1.1982045653780022,1.0981129590254015,0.9495891436868956,1.231259238167843,0.0002326399990124628,0.2425831289983762,200,1001,1001,,,,
random_sampling,1,2,1000,200,0.2,1,200,200,0.6997865071676919,20,1.0981129590254015,0.9495891436868956,2.427209938512057,1.3290969794866554,2.4435730924617545,0.5144236576468902,1.345460133436353,0.00014805499813519418,0.07972578300177702,400,1001,1002,,,,
random_sampling,1,3,1000,200,0.2,1,200,200,0.5551689018466693,20,2.4435730924617545,0.5144236576468902,3.5027801429179717,1.0592070504562172,3.4684569509358174,0.40041915757827723,1.024883858474063,0.00013885199950891547,0.055096688000048744,600,1001,1003,,,,
random_sampling,1,4,1000,200,0.2,1,200,200,0.7867349070817701,20,3.4684569509358174,0.40041915757827723,4.210002079942204,0.7415451290063868,4.206352246161481,0.15809326245523542,0.7378952952256639,0.00015891499788267538,0.05322084200088284,800,1001,1004,,,,
random_sampling,1,5,1000,200,0.2,1,200,200,0.5453629135948843,20,4.206352246161481,0.15809326245523542,4.686378641713519,0.48002639555203785,4.678746100869416,0.11823666091497796,0.47239385470793493,0.00016330300059053116,0.05194670899800258,1000,1001,1005,,,,
active_learning_pev,2,1,1000,200,0.2,1,200,200,0.5411461275781292,20,-0.13314627914244165,0.9430240904123077,1.6302108025898985,1.76335708173234,1.464942186446037,0.6657379978206276,1.5980884655884786,0.5232464990003791,0.656460774000152,200,1002,1002,50.0,150.0,0.4059537307690126,0.5411461275781292
active_learning_pev,2,2,1000,200,0.2,1,200,200,0.46475923736955954,20,1.464942186446037,0.6657379978206276,1.0256098560556999,-0.43933233039033714,2.4687629030353153,0.6455585790330786,1.0038207165892783,0.39938953399905586,0.540907889000664,400,1002,1003,50.0,150.0,0.2195316753530655,0.46475923736955954
active_learning_pev,2,3,1000,200,0.2,1,200,200,0.7074520035929376,20,2.4687629030353153,0.6455585790330786,1.2529086777751721,-1.2158542252601432,3.7603863749239417,0.3955372608502823,1.2916234718886264,0.3338084729984985,0.43654110199713614,600,1002,1004,50.0,150.0,0.5935233010513624,0.7074520035929376
active_learning_pev,2,4,1000,200,0.2,1,200,200,0.6452406703622169,20,3.7603863749239417,0.3955372608502823,1.3542226295958615,-2.4061637453280804,5.064607486701715,0.3478235355398338,1.3042211117777733,0.3225392210006248,0.42263886599903344,800,1002,1005,50.0,150.0,0.44007276550902286,0.6452406703622169
active_learning_pev,2,5,1000,200,0.2,1,200,200,0.5169681681774467,20,5.064607486701715,0.3478235355398338,0.5193413381706973,-4.5452661485310175,5.595964468961565,0.12774281033917745,0.5313569822598501,0.33376529200177174,0.42018880199975683,1000,1002,1006,50.0,150.0,0.4056426046745288,0.5169681681774467
diversity_sampling,2,1,1000,200,0.2,1,200,200,0.3957917812016222,20,-0.13314627914244168,0.9430240904123077,1.207816199879072,1.3409624790215136,1.2051135913872697,0.950722771444934,1.3382598705297113,0.8663093879986263,0.13003168900104356,200,1002,1002,,,,
