strategy,replicate,run_seed,step,generation_before,number_phenotyped_before,action,action_name,reward,event
linear_q_learning,5,30005,20,7,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,5,30005,21,7,50,2,Highest-PEV batch,1.9186874357831538,generation_finalized
linear_q_learning,5,30005,22,8,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,5,30005,23,8,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,5,30005,24,8,50,2,Highest-PEV batch,2.0051866714688797,generation_finalized
linear_q_learning,6,30006,1,1,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,6,30006,2,1,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,6,30006,3,1,50,2,Highest-PEV batch,2.084491961442474,generation_finalized
linear_q_learning,6,30006,4,2,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,6,30006,5,2,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,6,30006,6,2,50,2,Highest-PEV batch,2.0744754223810253,generation_finalized
linear_q_learning,6,30006,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,6,30006,8,3,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,6,30006,9,3,50,2,Highest-PEV batch,2.066037333225613,generation_finalized
linear_q_learning,6,30006,10,4,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,6,30006,11,4,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,6,30006,12,4,50,2,Highest-PEV batch,2.0317161942627218,generation_finalized
linear_q_learning,6,30006,13,5,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,6,30006,14,5,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,6,30006,15,5,50,2,Highest-PEV batch,2.0188958770673713,generation_finalized
linear_q_learning,6,30006,16,6,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,6,30006,17,6,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,6,30006,18,6,50,2,Highest-PEV batch,1.9914022470311061,generation_finalized
linear_q_learning,6,30006,19,7,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,6,30006,20,7,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,6,30006,21,7,50,2,Highest-PEV batch,0.6802729737186599,generation_finalized
linear_q_learning,6,30006,22,8,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,6,30006,23,8,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,6,30006,24,8,50,2,Highest-PEV batch,1.9814853066877667,generation_finalized
linear_q_learning,7,30007,1,1,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,7,30007,2,1,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,7,30007,3,1,50,2,Highest-PEV batch,2.0798420033685994,generation_finalized
linear_q_learning,7,30007,4,2,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,7,30007,5,2,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,7,30007,6,2,50,2,Highest-PEV batch,-1.5970544262607314,generation_finalized
linear_q_learning,7,30007,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,7,30007,8,3,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,7,30007,9,3,50,2,Highest-PEV batch,2.0412083385801485,generation_finalized
linear_q_learning,7,30007,10,4,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,7,30007,11,4,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,7,30007,12,4,50,2,Highest-PEV batch,2.031277605388821,generation_finalized
linear_q_learning,7,30007,13,5,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,7,30007,14,5,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,7,30007,15,5,50,2,Highest-PEV batch,2.0265366900432045,generation_finalized
linear_q_learning,7,30007,16,6,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,7,30007,17,6,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,7,30007,18,6,50,2,Highest-PEV batch,2.0066900182139804,generation_finalized
linear_q_learning,7,30007,19,7,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,7,30007,20,7,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,7,30007,21,7,50,2,Highest-PEV batch,-0.49062474238803677,generation_finalized
linear_q_learning,7,30007,22,8,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,7,30007,23,8,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,7,30007,24,8,50,2,Highest-PEV batch,-1.7318210046749238,generation_finalized
linear_q_learning,8,30008,1,1,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,8,30008,2,1,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,8,30008,3,1,50,2,Highest-PEV batch,2.0772683227418747,generation_finalized
linear_q_learning,8,30008,4,2,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,8,30008,5,2,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,8,30008,6,2,50,2,Highest-PEV batch,2.047702805433651,generation_finalized
linear_q_learning,8,30008,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,8,30008,8,3,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,8,30008,9,3,50,2,Highest-PEV batch,2.028151680271329,generation_finalized
linear_q_learning,8,30008,10,4,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,8,30008,11,4,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,8,30008,12,4,50,2,Highest-PEV batch,1.6846640277211744,generation_finalized
linear_q_learning,8,30008,13,5,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,8,30008,14,5,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,8,30008,15,5,50,2,Highest-PEV batch,1.8724888875683565,generation_finalized
linear_q_learning,8,30008,16,6,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,8,30008,17,6,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,8,30008,18,6,50,2,Highest-PEV batch,1.744081648178986,generation_finalized
linear_q_learning,8,30008,19,7,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,8,30008,20,7,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,8,30008,21,7,50,2,Highest-PEV batch,1.3424511903647016,generation_finalized
linear_q_learning,8,30008,22,8,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,8,30008,23,8,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,8,30008,24,8,50,2,Highest-PEV batch,2.0019997841565864,generation_finalized
linear_q_learning,9,30009,1,1,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,9,30009,2,1,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,9,30009,3,1,50,2,Highest-PEV batch,2.0999848893379887,generation_finalized
linear_q_learning,9,30009,4,2,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,9,30009,5,2,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,9,30009,6,2,50,2,Highest-PEV batch,2.055217024394778,generation_finalized
linear_q_learning,9,30009,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,9,30009,8,3,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,9,30009,9,3,50,2,Highest-PEV batch,1.5601347097401137,generation_finalized
linear_q_learning,9,30009,10,4,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,9,30009,11,4,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,9,30009,12,4,50,2,Highest-PEV batch,2.0563333571383517,generation_finalized
linear_q_learning,9,30009,13,5,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,9,30009,14,5,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,9,30009,15,5,50,2,Highest-PEV batch,2.0458416130158517,generation_finalized
linear_q_learning,9,30009,16,6,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,9,30009,17,6,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,9,30009,18,6,50,2,Highest-PEV batch,2.026036885697509,generation_finalized
linear_q_learning,9,30009,19,7,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,9,30009,20,7,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,9,30009,21,7,50,2,Highest-PEV batch,1.9928349308620106,generation_finalized
linear_q_learning,9,30009,22,8,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,9,30009,23,8,25,0,Random batch,0.0,phenotype_batch
linear_q_learning,9,30009,24,8,50,2,Highest-PEV batch,1.9726192607916673,generation_finalized
linear_q_learning,10,30010,1,1,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,10,30010,2,1,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,10,30010,3,1,50,2,Highest-PEV batch,2.0770200798976877,generation_finalized
linear_q_learning,10,30010,4,2,0,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,10,30010,5,2,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,10,30010,6,2,50,2,Highest-PEV batch,2.0522353101572537,generation_finalized
linear_q_learning,10,30010,7,3,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,10,30010,8,3,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,10,30010,9,3,50,2,Highest-PEV batch,2.035022817268095,generation_finalized
linear_q_learning,10,30010,10,4,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,10,30010,11,4,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,10,30010,12,4,50,2,Highest-PEV batch,2.0310311865862127,generation_finalized
linear_q_learning,10,30010,13,5,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,10,30010,14,5,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,10,30010,15,5,50,2,Highest-PEV batch,1.9971428464444945,generation_finalized
linear_q_learning,10,30010,16,6,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,10,30010,17,6,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,10,30010,18,6,50,2,Highest-PEV batch,-1.0679494265809006,generation_finalized
linear_q_learning,10,30010,19,7,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,10,30010,20,7,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,10,30010,21,7,50,2,Highest-PEV batch,2.019088785434473,generation_finalized
linear_q_learning,10,30010,22,8,0,0,Random batch,0.0,phenotype_batch
linear_q_learning,10,30010,23,8,25,1,Diversity batch,0.0,phenotype_batch
linear_q_learning,10,30010,24,8,50,2,Highest-PEV batch,1.994188585664583,generation_finalized
linear_q_learning,11,30011,1,1,0,1,Diversity batch,0.0,phenotype_batch
